Points,HJ
1395,2.54
1386,2.53
1377,2.52
1368,2.51
1359,2.5
1350,2.49
1341,2.48
1332,2.47
1323,2.46
1314,2.45
1305,2.44
1296,2.43
1287,2.42
1278,2.41
1269,2.4
1260,2.39
1251,2.38
1242,2.37
1233,2.36
1224,2.35
1215,2.34
1206,2.33
1197,2.32
1188,2.31
1179,2.3
1170,2.29
1161,2.28
1152,2.27
1143,2.26
1135,2.25
1126,2.24
1117,2.23
1108,2.22
1099,2.21
1090,2.2
1081,2.19
1072,2.18
1063,2.17
1055,2.16
1046,2.15
1037,2.14
1028,2.13
1019,2.12
1011,2.11
1002,2.1
993,2.09
984,2.08
975,2.07
966,2.06
957,2.05
949,2.04
940,2.03
932,2.02
923,2.01
914,2
905,1.99
897,1.98
888,1.97
879,1.96
870,1.95
