PLACE,OW,DF,GW,GL,A,B,C,D,E,F
1,375,240,200,170,140,100,60,40,25,15
2,330,210,170,145,120,80,50,35,21,10
3,300,185,150,130,110,70,45,30,18,5
4,270,170,140,120,100,60,40,25,15,0
5,250,155,130,110,90,55,35,22,12,0
6,230,145,120,100,80,50,30,19,10,0
7,215,135,110,90,70,45,27,17,0,0
8,200,125,100,80,60,40,25,15,0,0
9,130,90,70,60,0,0,0,0,0,0
10,120,80,60,50,0,0,0,0,0,0
11,110,70,50,45,0,0,0,0,0,0
12,100,60,45,40,0,0,0,0,0,0
13,95,0,0,0,0,0,0,0,0,0
14,90,0,0,0,0,0,0,0,0,0
15,85,0,0,0,0,0,0,0,0,0
16,80,0,0,0,0,0,0,0,0,0
